Year,NEP,GPP,NPP,RH,estabc,negc_fluxes,firec,NBP,NBP_nat,transp,evap,interc,CH4 emiss.,CH4 oxid,CH4 sink,CH4 fire,prec,SoilC,SoilC_slow,LitC,VegC,Soil_CH4,nuptake,ndemand,nlosses,ninflux,estabn,negn_fluxes,firen,SoilN,SoilN_slow,LitN,VegN,SoilNH4,SoilNO3
(AD),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 dm3/yr),(1e+15 dm3/yr),(1e+15 dm3/yr),(1e+15 gCH4/yr),(1e+15 gCH4/yr),(1e+15 gCH4/yr),(1e+15 gCH4/yr),(1e+15 dm3/yr),(1e+15 gC),(1e+15 gC),(1e+15 gC),(1e+15 gC),(1e+15 gCH4),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN),(1e+15 gN),(1e+15 gN),(1e+15 gN),(1e+15 gN),(1e+15 gN)
-2080,-0.000637881,0.00837002,0.00413607,0.00477395,1.22588e-07,0,6.12108e-06,-0.00064388,-0.00064388,0.00138786,0.000536197,0.000235631,3.91776e-10,7.38466e-07,-5.61527e-07,2.93812e-08,0.00508987,0.154986,0.0671909,0.00310719,0.00570999,9.2349e-10,7.58062e-05,1.8759e-07,0.000102544,5.1101e-07,3.4329e-09,0,5.44555e-08,0.0100235,0.00447926,6.51679e-05,7.58149e-05,1.5961e-05,3.71794e-05
-2079,-0.000698345,0.00858643,0.00406061,0.00475896,1.04313e-07,0,6.20508e-06,-0.000704446,-0.000704446,0.00142457,0.000551772,0.000226417,1.17499e-10,7.55543e-07,-5.63863e-07,2.97844e-08,0.00412989,0.153564,0.0671637,0.00303526,0.00649919,9.81004e-10,7.1688e-05,1.31505e-07,7.8163e-05,5.06315e-07,2.92114e-09,0,5.26412e-08,0.00993249,0.00447742,6.24937e-05,8.32245e-05,1.26222e-05,4.91105e-05
-2078,-0.00053191,0.00872893,0.00424115,0.00477306,8.32589e-08,0,6.8481e-06,-0.000538675,-0.000538675,0.00141851,0.000567109,0.000293706,2.07984e-10,7.01399e-07,-5.31792e-07,3.28709e-08,0.00450625,0.152035,0.0671342,0.00303195,0.00749395,9.44236e-10,7.21434e-05,2.08571e-07,9.5601e-05,5.20201e-07,2.33154e-09,0,5.53458e-08,0.00983664,0.00447543,6.08598e-05,9.28166e-05,1.55808e-05,3.89086e-05
-2077,-0.000544862,0.00874355,0.00409182,0.00463669,6.49442e-08,0,7.38951e-06,-0.000552187,-0.000552187,0.00146029,0.000632539,0.000398819,1.23122e-10,6.2641e-07,-4.93269e-07,3.54696e-08,0.00658806,0.150612,0.0671056,0.00297543,0.00842179,9.43144e-10,6.33123e-05,2.24278e-07,9.74491e-05,5.28639e-07,1.81867e-09,0,5.52925e-08,0.00974619,0.00447349,5.75184e-05,9.70155e-05,1.53224e-05,3.17863e-05
-2076,-0.000971781,0.00828636,0.00358878,0.00456056,5.37221e-08,0,7.6949e-06,-0.000979422,-0.000979422,0.00137111,0.00048122,0.00025832,2.855e-10,7.61285e-07,-5.88042e-07,3.69355e-08,0.00431883,0.149083,0.0670755,0.00289706,0.00905022,9.51072e-10,5.50096e-05,1.93118e-07,8.42868e-05,5.24293e-07,1.50441e-09,0,5.40894e-08,0.0096516,0.00447146,5.3515e-05,9.93467e-05,1.48185e-05,4.4744e-05
-2075,0.000204669,0.00961409,0.00459971,0.00439504,3.08797e-08,0,8.74611e-06,0.000195953,0.000195953,0.00172936,0.000481511,0.000350931,1.88478e-11,6.8549e-07,-5.03102e-07,4.19813e-08,0.00450899,0.14774,0.0670455,0.00303113,0.010455,9.31552e-10,8.15962e-05,5.23242e-07,8.13735e-05,5.56465e-07,8.6474e-10,0,6.438e-08,0.00956164,0.00446939,5.51253e-05,0.000123751,1.13948e-05,3.1229e-05
-2074,-0.000351157,0.00940563,0.0040547,0.00440586,1.89045e-08,0,9.34383e-06,-0.000360481,-0.000360481,0.00169251,0.000418431,0.000388827,6.11392e-11,7.07847e-07,-5.28139e-07,4.48504e-08,0.00439161,0.146385,0.067015,0.0030772,0.0114038,9.67105e-10,5.24636e-05,3.57085e-07,8.02389e-05,5.12268e-07,5.29393e-10,0,6.19495e-08,0.00947476,0.00446732,5.43106e-05,0.000120478,1.05778e-05,4.3221e-05
-2073,-0.000929933,0.00867767,0.00347643,0.00440636,1.35189e-08,0,9.57645e-06,-0.000939496,-0.000939496,0.00159182,0.000412012,0.000399261,7.96001e-11,7.13371e-07,-5.47745e-07,4.5967e-08,0.00476041,0.145005,0.066984,0.00299186,0.0119306,9.19192e-10,4.8993e-05,1.9576e-07,9.80002e-05,5.23157e-07,3.78576e-10,0,5.96771e-08,0.00938713,0.00446522,5.00036e-05,0.000120455,1.08711e-05,3.73531e-05
-2072,-0.000292499,0.00917878,0.00392163,0.00421412,6.33223e-09,0,1.02164e-05,-0.00030271,-0.00030271,0.00174798,0.000376328,0.000427737,1.21017e-10,6.27993e-07,-4.82006e-07,4.90388e-08,0.00524695,0.143759,0.0669532,0.00307795,0.012788,8.95757e-10,6.65937e-05,5.65765e-07,8.15781e-05,5.19414e-07,1.77659e-10,0,6.57945e-08,0.00930287,0.0044631,5.01467e-05,0.000136378,1.17527e-05,2.35395e-05
-2071,-0.0004628,0.0093828,0.00383921,0.00430201,3.60102e-09,0,1.07883e-05,-0.000473584,-0.000473584,0.00178803,0.000416091,0.000497439,3.31766e-11,6.59448e-07,-5.17264e-07,5.17839e-08,0.00512954,0.142513,0.0669206,0.0032813,0.0133575,8.81196e-10,5.26623e-05,3.26526e-07,8.61461e-05,5.08129e-07,1.01176e-10,0,6.58923e-08,0.00921849,0.00446087,5.0881e-05,0.000135531,1.1419e-05,2.26658e-05
-2070,-0.000923878,0.00850983,0.00317869,0.00410257,3.30351e-09,0,1.08927e-05,-0.000934768,-0.000934768,0.00168733,0.000338034,0.000399867,1.79873e-10,6.2535e-07,-5.07337e-07,5.22848e-08,0.00481767,0.141374,0.0668901,0.00329737,0.0135459,9.32494e-10,4.63402e-05,7.37804e-07,6.50981e-05,5.17392e-07,9.31745e-11,0,6.37061e-08,0.0091423,0.00445879,4.89737e-05,0.000133299,7.40327e-06,4.23694e-05
-2069,-0.000313133,0.00917394,0.00374558,0.00405871,3.30362e-09,0,1.15111e-05,-0.000324641,-0.000324641,0.00180373,0.000366449,0.00039753,2.97985e-11,8.26264e-07,-6.43447e-07,5.52531e-08,0.00477784,0.140321,0.0668581,0.00370241,0.0138694,9.03657e-10,6.59576e-05,8.00664e-07,7.10773e-05,5.09972e-07,9.31785e-11,0,6.99812e-08,0.00906554,0.0044566,5.28035e-05,0.000145307,8.08318e-06,3.19669e-05
-2068,-0.000423806,0.00913892,0.00358786,0.00401167,3.30364e-09,0,1.19284e-05,-0.000435731,-0.000435731,0.00182223,0.000359297,0.000453337,5.7251e-11,6.43074e-07,-5.07699e-07,5.72565e-08,0.00524695,0.139343,0.0668276,0.00397418,0.01414,8.91205e-10,4.87396e-05,6.54361e-07,7.59944e-05,5.10507e-07,9.31788e-11,0,6.83677e-08,0.00899734,0.00445451,5.4151e-05,0.000139726,1.19588e-05,2.49749e-05
-2067,0.000159554,0.00986643,0.00419735,0.0040378,3.30364e-09,0,1.27618e-05,0.000146796,0.000146796,0.00204092,0.000367032,0.00051945,3.25141e-11,7.09516e-07,-5.43667e-07,6.12565e-08,0.00519326,0.138498,0.0667972,0.00450509,0.0146016,9.52293e-10,5.41124e-05,1.39006e-06,6.35701e-05,5.17474e-07,9.3179e-11,0,6.85007e-08,0.00893131,0.00445241,5.62272e-05,0.00013744,1.37715e-05,2.62867e-05
-2066,-0.000953712,0.00885608,0.00320132,0.00415503,3.30354e-09,0,1.27937e-05,-0.000966502,-0.000966502,0.00174429,0.000370307,0.000371689,1.26649e-10,6.28727e-07,-5.09597e-07,6.14096e-08,0.00459778,0.137425,0.0667666,0.00442317,0.0147906,9.08107e-10,3.97541e-05,2.34467e-07,6.52316e-05,5.07977e-07,9.31756e-11,0,6.34962e-08,0.00886585,0.00445033,5.17315e-05,0.000129685,8.57296e-06,4.44019e-05
-2065,0.000248436,0.00979053,0.0042333,0.00398487,3.30366e-09,0,1.36689e-05,0.000234771,0.000234771,0.00202836,0.000363952,0.000519009,2.7635e-11,7.1026e-07,-5.35933e-07,6.56105e-08,0.00519326,0.136644,0.0667357,0.00498812,0.0152421,9.46521e-10,6.5628e-05,1.71564e-06,6.65427e-05,6.38262e-07,9.31795e-11,0,6.96789e-08,0.00880163,0.00444818,5.53784e-05,0.00014098,1.29635e-05,2.33231e-05
-2064,-0.000688608,0.00883306,0.00334079,0.0040294,3.30355e-09,0,1.38138e-05,-0.000702419,-0.000702419,0.00170148,0.00037215,0.00042569,6.60564e-11,7.03363e-07,-5.37253e-07,6.63064e-08,0.00404666,0.13567,0.066705,0.00503123,0.0154708,9.19144e-10,4.1387e-05,2.30811e-07,6.387e-05,5.08041e-07,9.31757e-11,0,6.60471e-08,0.00874111,0.00444608,5.39176e-05,0.000133401,9.68857e-06,3.27257e-05
-2063,-0.000933507,0.00811535,0.00295628,0.00388979,3.28136e-09,0,1.37328e-05,-0.000947237,-0.000947237,0.00160956,0.000395888,0.000433903,1.28822e-10,6.22002e-07,-5.03716e-07,6.59174e-08,0.00548821,0.134766,0.0666755,0.00489295,0.0155656,9.29777e-10,4.74858e-05,7.26424e-07,6.66139e-05,5.10751e-07,9.22237e-11,0,6.5788e-08,0.00868403,0.00444406,5.15452e-05,0.000135526,7.28675e-06,2.62835e-05
-2062,9.99784e-05,0.00959176,0.00399,0.00389002,3.30365e-09,0,1.45011e-05,8.54805e-05,8.54805e-05,0.00198011,0.000331249,0.000458639,4.62223e-11,6.19821e-07,-4.86571e-07,6.96054e-08,0.0044552,0.133974,0.066644,0.00535253,0.0159841,9.38118e-10,6.71329e-05,2.14628e-06,4.57879e-05,6.38712e-07,9.31793e-11,0,7.31032e-08,0.00862451,0.00444187,5.59896e-05,0.000148728,7.58292e-06,2.26436e-05
-2061,-0.00104188,0.00813367,0.00280497,0.00384684,3.90614e-09,0,1.42965e-05,-0.00105617,-0.00105617,0.00161208,0.000396071,0.000432132,1.11568e-10,6.69314e-07,-5.35396e-07,6.8623e-08,0.00548821,0.133099,0.0666142,0.00518289,0.0159726,9.27953e-10,2.96537e-05,5.04026e-07,6.54953e-05,5.07641e-07,1.09386e-10,0,6.47437e-08,0.00857329,0.00443984,5.28699e-05,0.000130951,8.50326e-06,2.87857e-05
-2060,0.000370282,0.00968937,0.00417436,0.00380408,3.30364e-09,0,1.51842e-05,0.000355101,0.000355101,0.00201554,0.000360495,0.00050706,3.14473e-11,6.84841e-07,-5.19421e-07,7.28841e-08,0.00519326,0.132398,0.0665832,0.0056671,0.0165455,9.5022e-10,6.67895e-05,3.5585e-06,4.71604e-05,7.85489e-07,9.3179e-11,0,7.16741e-08,0.00851657,0.00443765,5.60861e-05,0.000145492,1.10478e-05,1.87611e-05
-2059,2.36815e-05,0.00949132,0.00389848,0.00387479,3.42942e-09,0,2.57838e-05,-2.09887e-06,-2.09887e-06,0.00190566,0.000384857,0.000475159,2.76403e-11,7.24398e-07,-5.62495e-07,1.23762e-07,0.00450625,0.13163,0.0665516,0.00601575,0.0169634,9.28824e-10,5.03717e-05,8.22816e-07,5.10429e-05,5.17175e-07,9.71235e-11,0,1.17167e-07,0.00846411,0.00443547,5.79923e-05,0.000142665,7.82405e-06,2.4724e-05
-2058,-0.000307339,0.009208,0.00356296,0.0038703,3.30366e-09,0,1.60327e-05,-0.000323368,-0.000323368,0.00186259,0.00038003,0.000422526,5.59611e-11,6.66288e-07,-5.26675e-07,7.69572e-08,0.00411171,0.130914,0.0665213,0.00610981,0.0172617,9.51316e-10,4.59366e-05,8.82146e-07,4.91456e-05,5.15665e-07,9.31795e-11,0,6.95331e-08,0.00841534,0.00443337,5.66806e-05,0.000138961,7.07852e-06,3.05461e-05
-2057,1.64796e-05,0.00926468,0.00375628,0.0037398,3.7361e-09,0,3.01052e-05,-1.36219e-05,-1.36219e-05,0.00188956,0.000316697,0.000447809,4.74747e-11,6.94646e-07,-5.52269e-07,1.44505e-07,0.00508987,0.130275,0.0664911,0.0063852,0.0176124,9.02148e-10,4.86074e-05,1.79038e-06,5.30152e-05,6.19559e-07,1.07284e-10,0,1.22173e-07,0.00836684,0.00443125,5.73839e-05,0.000138223,1.35062e-05,2.01396e-05
-2056,-0.00049691,0.00860787,0.00331286,0.00380977,3.30344e-09,0,1.65837e-05,-0.00051349,-0.00051349,0.00170696,0.00039747,0.000400983,1.02734e-10,6.84124e-07,-5.40873e-07,7.96017e-08,0.00389423,0.129602,0.0664619,0.00630964,0.0178476,9.6612e-10,4.62599e-05,1.1401e-06,4.44743e-05,5.51139e-07,9.31722e-11,0,6.86018e-08,0.00832257,0.0044292,5.50604e-05,0.000138094,7.26388e-06,2.91117e-05
-2055,-5.44604e-05,0.00911809,0.00364283,0.00369729,3.30343e-09,0,1.69826e-05,-7.14397e-05,-7.14397e-05,0.00182644,0.000352066,0.000452307,6.75437e-11,6.15679e-07,-4.87438e-07,8.15164e-08,0.00524695,0.129029,0.0664324,0.00649528,0.0181638,8.806e-10,5.44133e-05,2.11315e-06,5.11132e-05,6.25997e-07,9.31717e-11,0,7.12782e-08,0.0082782,0.00442711,5.60868e-05,0.000143735,9.8585e-06,1.36633e-05
-2054,-0.000813402,0.00857086,0.00297873,0.00379213,3.69665e-09,0,1.69158e-05,-0.000830314,-0.000830314,0.00170444,0.0003385,0.000335722,9.91856e-11,6.95187e-07,-5.2146e-07,8.1196e-08,0.00360601,0.128243,0.0664009,0.00636206,0.0182532,8.91574e-10,4.11222e-05,1.43814e-06,4.38491e-05,5.95894e-07,1.03853e-10,0,6.87955e-08,0.0082306,0.0044249,5.44684e-05,0.00013899,6.25817e-06,2.79056e-05
-2053,8.81408e-07,0.00914683,0.00367552,0.00367464,3.30353e-09,0,1.73754e-05,-1.64907e-05,-1.64907e-05,0.00180925,0.000356613,0.000392563,2.71081e-11,8.08736e-07,-6.29369e-07,8.34021e-08,0.00477784,0.127634,0.0663698,0.00654881,0.0186595,8.9053e-10,5.75568e-05,3.56972e-06,4.61239e-05,7.2396e-07,9.31754e-11,0,7.27263e-08,0.00818497,0.0044227,5.59477e-05,0.000147832,9.30427e-06,1.46935e-05
