Year,NEP,GPP,NPP,RH,estabc,negc_fluxes,firec,NBP,NBP_nat,transp,evap,interc,CH4 emiss.,CH4 oxid,CH4 sink,CH4 fire,prec,SoilC,SoilC_slow,LitC,VegC,Soil_CH4,nuptake,ndemand,nlosses,ninflux,estabn,negn_fluxes,firen,SoilN,SoilN_slow,LitN,VegN,SoilNH4,SoilNO3
(AD),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 dm3/yr),(1e+15 dm3/yr),(1e+15 dm3/yr),(1e+15 gCH4/yr),(1e+15 gCH4/yr),(1e+15 gCH4/yr),(1e+15 gCH4/yr),(1e+15 dm3/yr),(1e+15 gC),(1e+15 gC),(1e+15 gC),(1e+15 gC),(1e+15 gCH4),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN),(1e+15 gN),(1e+15 gN),(1e+15 gN),(1e+15 gN),(1e+15 gN)
-2080,-0.000637366,0.00837928,0.00413812,0.00477549,1.21384e-07,0,1.45234e-07,-0.00063739,-0.00063739,0.00138863,0.000535198,0.000236707,3.88671e-10,7.37343e-07,-5.60867e-07,1.54916e-09,0.00508987,0.154998,0.0671914,0.00310932,0.00574935,9.23502e-10,7.57188e-05,1.86406e-07,0.000102793,5.1098e-07,3.39918e-09,0,1.70002e-09,0.0100245,0.00447929,6.51449e-05,7.62193e-05,1.59675e-05,3.69398e-05
-2079,-0.000698042,0.00859616,0.00406227,0.00476031,1.02926e-07,0,7.01455e-10,-0.000697939,-0.000697939,0.00142543,0.000550356,0.000227668,1.1498e-10,7.55095e-07,-5.64802e-07,7.48218e-12,0.00412989,0.153576,0.0671642,0.00303669,0.00654656,9.80938e-10,7.16125e-05,1.30917e-07,7.79539e-05,5.06315e-07,2.88229e-09,0,8.06488e-12,0.00993339,0.00447745,6.24398e-05,8.3725e-05,1.26153e-05,4.91224e-05
-2078,-0.000530249,0.00874233,0.00424361,0.00477386,8.16972e-08,0,2.44401e-08,-0.000530192,-0.000530192,0.00142103,0.000565487,0.000295525,2.04805e-10,7.01292e-07,-5.30943e-07,2.60694e-10,0.00450625,0.152045,0.0671347,0.00303399,0.00755029,9.44201e-10,7.20903e-05,2.08008e-07,9.60432e-05,5.19355e-07,2.28781e-09,0,2.73333e-10,0.00983745,0.00447546,6.0807e-05,9.34327e-05,1.46655e-05,3.94192e-05
-2077,-0.000561117,0.00872892,0.00407679,0.00463791,6.32344e-08,0,5.13508e-09,-0.000561059,-0.000561059,0.00146003,0.000629818,0.000401452,1.21056e-10,6.27106e-07,-4.9284e-07,5.47742e-11,0.00658806,0.150612,0.0671061,0.00296876,0.0084873,9.40945e-10,6.2781e-05,2.74842e-07,9.84104e-05,5.37281e-07,1.77079e-09,0,5.70244e-11,0.00974641,0.00447352,5.72339e-05,9.7689e-05,1.5235e-05,3.13382e-05
-2076,-0.000973932,0.00829354,0.00358369,0.00455762,5.20076e-08,0,5.905e-08,-0.000973939,-0.000973939,0.00137483,0.000478773,0.000260197,2.80674e-10,7.60047e-07,-5.88308e-07,6.29867e-10,0.00431883,0.14908,0.0670759,0.00289599,0.00911872,9.50817e-10,5.47607e-05,1.90635e-07,8.40249e-05,5.24164e-07,1.4564e-09,0,6.38138e-10,0.00965154,0.00447147,5.3351e-05,9.9978e-05,1.48221e-05,4.47095e-05
-2075,0.000208806,0.0096324,0.00460285,0.00439404,2.92112e-08,0,6.00024e-10,0.000208835,0.000208835,0.00173477,0.000478989,0.000353414,1.85604e-11,6.84096e-07,-5.03195e-07,6.40025e-12,0.00450899,0.147737,0.0670458,0.00303312,0.0105342,9.31587e-10,8.16337e-05,5.34098e-07,8.12837e-05,5.53444e-07,8.18018e-10,0,6.06781e-12,0.00956147,0.00446941,5.50257e-05,0.00012462,1.14016e-05,3.11612e-05
-2074,-0.000359898,0.00940843,0.00404547,0.00440537,1.74365e-08,0,1.18537e-07,-0.000359999,-0.000359999,0.00169813,0.000416205,0.000391745,8.54653e-11,7.00636e-07,-5.22179e-07,1.2644e-09,0.00439161,0.146379,0.0670154,0.00307812,0.0114869,9.67137e-10,5.20701e-05,3.56603e-07,8.08874e-05,5.12039e-07,4.88283e-10,0,1.32536e-09,0.00947451,0.00446733,5.41688e-05,0.000121255,1.03583e-05,4.30059e-05
-2073,-0.000940277,0.00867973,0.00346487,0.00440515,1.22076e-08,0,5.03641e-08,-0.000940315,-0.000940315,0.00159957,0.000408924,0.000402247,6.7585e-11,7.34381e-07,-5.63338e-07,5.37217e-10,0.00476041,0.144997,0.0669843,0.00299336,0.012014,9.19156e-10,4.86843e-05,1.99247e-07,9.84898e-05,5.23203e-07,3.41856e-10,0,5.13116e-10,0.00938674,0.00446523,4.98604e-05,0.000121208,1.09395e-05,3.65838e-05
-2072,-0.000305249,0.00917545,0.00390685,0.0042121,4.10887e-09,0,3.44996e-10,-0.000305245,-0.000305245,0.0017546,0.000374428,0.000430857,1.16562e-10,6.29485e-07,-4.84441e-07,3.67996e-12,0.00524695,0.143762,0.0669535,0.00310995,0.0128274,8.95706e-10,6.63518e-05,5.74262e-07,8.1192e-05,5.18335e-07,1.15063e-10,0,3.22737e-12,0.00930242,0.00446311,5.02833e-05,0.000136768,1.17593e-05,2.34232e-05
-2071,-0.000471968,0.00938011,0.0038318,0.00430376,1.54536e-09,0,8.21291e-11,-0.000471966,-0.000471966,0.0017908,0.000415179,0.000498998,3.27433e-11,6.57972e-07,-5.16862e-07,8.76044e-13,0.00512954,0.142517,0.0669208,0.00331644,0.0133949,8.81183e-10,5.26075e-05,3.29314e-07,8.59448e-05,5.08094e-07,4.32756e-11,0,7.90471e-13,0.00921812,0.00446088,5.10397e-05,0.000135988,1.14064e-05,2.2667e-05
-2070,-0.000936542,0.00850334,0.00316732,0.00410386,1.4444e-22,0,9.60049e-09,-0.000936551,-0.000936551,0.00168925,0.000337587,0.000401008,1.7084e-10,6.2601e-07,-5.09055e-07,1.02405e-10,0.00481767,0.141389,0.0668904,0.0033545,0.0135485,9.32548e-10,4.60568e-05,7.45136e-07,6.49453e-05,5.17086e-07,4.81467e-24,0,7.1887e-11,0.00914218,0.0044588,4.92931e-05,0.000133299,7.37185e-06,4.26503e-05
-2069,-0.00031677,0.00917315,0.00374622,0.00406299,0,0,1.29276e-08,-0.000316783,-0.000316783,0.00180233,0.000366857,0.000397623,2.98252e-11,8.2243e-07,-6.43057e-07,1.37895e-10,0.00477784,0.140339,0.0668584,0.00376045,0.0138764,9.03653e-10,6.61784e-05,8.39975e-07,7.08578e-05,5.1005e-07,0,0,1.1209e-10,0.00906575,0.00445661,5.31325e-05,0.000145538,8.08592e-06,3.19413e-05
-2068,-0.000429196,0.00913905,0.00358691,0.00401611,2.87289e-22,0,3.25852e-10,-0.000429196,-0.000429196,0.00182081,0.000359659,0.000453516,5.72358e-11,6.43025e-07,-5.07748e-07,3.47575e-12,0.00524695,0.139364,0.066828,0.00403185,0.0141513,8.9121e-10,4.86154e-05,6.69499e-07,7.59128e-05,5.10358e-07,9.5763e-24,0,2.47974e-12,0.00899785,0.00445453,5.44582e-05,0.000139829,1.19711e-05,2.49369e-05
-2067,0.000154719,0.00986592,0.00419709,0.00404237,1.54454e-09,0,1.52158e-09,0.000154719,0.000154719,0.00203933,0.000367361,0.000519831,3.24471e-11,7.09597e-07,-5.43546e-07,1.62302e-11,0.00519326,0.138523,0.0667977,0.00456699,0.0146121,9.5229e-10,5.4002e-05,1.40606e-06,6.35626e-05,5.19544e-07,4.32526e-11,0,1.00818e-11,0.00893208,0.00445244,5.65283e-05,0.000137422,1.3762e-05,2.62073e-05
-2066,-0.00095731,0.00885604,0.00320274,0.00416005,0,0,8.93666e-08,-0.000957399,-0.000957399,0.00174275,0.000370654,0.000371868,1.26397e-10,6.28999e-07,-5.09687e-07,9.53244e-10,0.00459778,0.137452,0.0667671,0.00448311,0.0148103,9.08015e-10,3.97813e-05,2.36425e-07,6.51061e-05,5.07992e-07,0,0,6.63432e-10,0.00886685,0.00445036,5.1979e-05,0.000129775,8.62082e-06,4.41773e-05
-2065,0.000243331,0.00978955,0.00423294,0.00398961,1.4444e-22,0,1.92431e-09,0.000243329,0.000243329,0.0020265,0.000364287,0.000519574,2.85305e-11,7.06125e-07,-5.33639e-07,2.0526e-11,0.00519326,0.136673,0.0667363,0.00504845,0.0152674,9.46517e-10,6.55246e-05,1.72097e-06,6.63769e-05,6.38558e-07,4.81467e-24,0,1.02383e-11,0.00880283,0.00444821,5.56085e-05,0.000141035,1.29671e-05,2.32237e-05
-2064,-0.000692899,0.0088325,0.00334113,0.00403403,0,0,1.00581e-08,-0.000692909,-0.000692909,0.00169962,0.00037256,0.000426243,6.5958e-11,7.03138e-07,-5.37146e-07,1.07287e-10,0.00404666,0.135702,0.0667057,0.00509291,0.0155014,9.19149e-10,4.14088e-05,2.32709e-07,6.37263e-05,5.08043e-07,0,0,6.87357e-11,0.00874249,0.00444612,5.41512e-05,0.000133531,9.70086e-06,3.25694e-05
-2063,-0.00093942,0.00811375,0.00295538,0.0038948,1.55657e-09,0,6.42454e-08,-0.000939482,-0.000939482,0.00160769,0.000396411,0.00043442,1.28785e-10,6.21577e-07,-5.03754e-07,6.85284e-10,0.00548821,0.134802,0.0666763,0.00495771,0.0155969,9.29788e-10,4.7461e-05,7.78453e-07,6.64504e-05,5.1107e-07,4.35894e-11,0,4.75256e-10,0.00868564,0.0044441,5.17975e-05,0.000135649,7.28673e-06,2.61291e-05
-2062,9.35648e-05,0.00959019,0.00398885,0.00389529,1.4444e-22,0,1.14246e-08,9.35533e-05,9.35533e-05,0.00197819,0.000331629,0.000459258,4.57893e-11,6.18978e-07,-4.86292e-07,1.21863e-10,0.0044552,0.134012,0.0666449,0.00541598,0.0160235,9.38127e-10,6.70503e-05,2.16097e-06,4.56513e-05,6.39787e-07,4.81467e-24,0,9.27558e-11,0.00862627,0.00444191,5.62128e-05,0.000148877,7.58161e-06,2.2547e-05
-2061,-0.00104741,0.0081333,0.00280444,0.00385185,3.7665e-09,0,6.08122e-08,-0.00104747,-0.00104747,0.00161005,0.000396591,0.000432719,1.11467e-10,6.69231e-07,-5.35375e-07,6.48663e-10,0.00548821,0.13314,0.0666152,0.00524664,0.0160176,9.27967e-10,2.96731e-05,5.04384e-07,6.53497e-05,5.07642e-07,1.05475e-10,0,4.23995e-10,0.00857523,0.0044399,5.31064e-05,0.00013116,8.50159e-06,2.86555e-05
-2060,0.000362706,0.00968729,0.0041721,0.00380939,1.42849e-22,0,1.8993e-09,0.000362704,0.000362704,0.00201485,0.000360768,0.00050806,3.22662e-11,6.8203e-07,-5.16888e-07,2.02592e-11,0.00519326,0.132441,0.0665842,0.00573549,0.0165904,9.50236e-10,6.67193e-05,3.57577e-06,4.72651e-05,7.86284e-07,4.76162e-24,0,8.4523e-12,0.00851865,0.0044377,5.63255e-05,0.000145698,1.11233e-05,1.83739e-05
-2059,1.60229e-05,0.0094881,0.0038959,0.00387987,0,0,4.94452e-08,1.59734e-05,1.59734e-05,0.00190301,0.000385431,0.000475835,2.75107e-11,7.22892e-07,-5.62545e-07,5.27416e-10,0.00450625,0.131676,0.0665527,0.00609198,0.0170154,9.28843e-10,5.03652e-05,8.46778e-07,5.07243e-05,5.17592e-07,0,0,2.61664e-10,0.00846633,0.00443553,5.82958e-05,0.000142943,7.8414e-06,2.45548e-05
-2058,-0.000315394,0.00920706,0.00356115,0.00387655,0,0,1.32175e-07,-0.000315526,-0.000315526,0.00186002,0.000380641,0.000423231,5.60024e-11,6.66968e-07,-5.26341e-07,1.40987e-09,0.00411171,0.130963,0.0665225,0.00618471,0.0173203,9.51183e-10,4.58851e-05,8.89302e-07,4.90173e-05,5.17282e-07,0,0,5.76217e-10,0.00841777,0.00443343,5.69688e-05,0.000139233,7.08549e-06,3.04023e-05
-2057,8.17683e-06,0.0092626,0.00375392,0.00374574,0,0,2.3328e-07,7.94355e-06,7.94355e-06,0.00188669,0.000317207,0.000448516,4.73707e-11,6.94614e-07,-5.51985e-07,2.48832e-09,0.00508987,0.130328,0.0664924,0.00646819,0.0176807,9.02166e-10,4.85095e-05,1.81026e-06,5.29216e-05,6.22341e-07,0,0,9.82935e-10,0.00836945,0.00443132,5.77073e-05,0.000138485,1.35092e-05,2.00075e-05
