Year,NEP,GPP,NPP,RH,estabc,negc_fluxes,firec,area,harvestc,prod_turnoverc,NBP,NBP_nat,transp,evap,interc,wd,discharge,CH4 emiss.,CH4 oxid,CH4 sink,CH4 fire,CH4 rice,CH4 grass,CH4 agr,prec,SoilC,SoilC_slow,LitC,VegC,Soil_CH4,ProductC,nuptake,ndemand,nlosses,ninflux,estabn,negn_fluxes,firen,harvestN,prod_turnovern,SoilN,SoilN_slow,LitN,VegN,SoilNH4,SoilNO3,ProductN,estab_storageC,estab_storageN
(AD),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(m2),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 dm3/yr),(1e+15 dm3/yr),(1e+15 dm3/yr),(1e+15 dm3/yr),(1e+15 dm3/yr),(1e+15 gCH4/yr),(1e+15 gCH4/yr),(1e+15 gCH4/yr),(1e+15 gCH4/yr),(1e+15 gCH4/yr),(1e+15 gCH4/yr),(1e+15 gCH4/yr),(1e+15 dm3/yr),(1e+15 gC),(1e+15 gC),(1e+15 gC),(1e+15 gC),(1e+15 gCH4),(1e+15 gC),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN),(1e+15 gN),(1e+15 gN),(1e+15 gN),(1e+15 gN),(1e+15 gN),(1e+15 gN),(1e+15 gC),(1e+15 gN)
1500,-2.91631e-05,0.00509279,0.00220212,0.00223128,3.53446e-05,0,6.07292e-05,1.99347e+09,0.000419635,0,-0.000474183,-7.80773e-05,0.00153959,0.000498016,0.000293306,0,0.00187498,4.80544e-09,3.71868e-07,-3.04776e-07,6.47778e-07,0,1.90494e-09,2.34651e-09,0.00460866,0.0688559,0.0321563,0.0099114,0.0225051,7.94736e-10,0,2.9216e-05,5.20735e-06,1.12152e-05,2.24996e-06,1.23686e-06,0,8.8736e-08,8.38798e-06,0,0.00347066,0.00164035,3.30631e-05,8.01529e-05,3.03289e-06,1.18229e-05,0,0.0010939,0.00010939
1501,9.93942e-05,0.00528076,0.00236697,0.00226758,3.54815e-05,0,2.37504e-05,2.00178e+09,0.000384598,1.92246e-06,-0.000275396,0.000104352,0.00157985,0.000505119,0.000283985,0,0.00182743,3.7857e-09,3.22603e-07,-2.50936e-07,1.12123e-07,0,1.39278e-09,2.07175e-09,0.00359994,0.0685081,0.032146,0.00969552,0.0227534,9.42257e-10,4.54288e-05,3.14827e-05,5.57304e-06,1.04829e-05,2.33933e-06,1.24159e-06,0,2.76183e-08,7.59654e-06,3.00542e-09,0.00345488,0.00163985,3.29038e-05,8.27737e-05,1.91979e-06,1.20252e-05,7.10197e-08,0.0010939,0.00010939
1502,3.99509e-05,0.00539328,0.00229612,0.00225617,3.56098e-05,0,1.34519e-05,2.01008e+09,0.000387854,3.70104e-06,-0.000329447,5.66648e-05,0.00155687,0.000580262,0.000286514,0,0.00167098,4.61744e-09,2.96977e-07,-2.36593e-07,5.9453e-10,0,1.38381e-09,2.82733e-09,0.00412989,0.068249,0.0321366,0.0094812,0.0228588,9.57334e-10,8.95775e-05,2.88472e-05,5.27893e-06,6.97897e-06,2.96557e-06,1.24615e-06,0,1.18914e-08,8.27866e-06,5.79686e-09,0.00344204,0.00163941,3.22221e-05,8.14375e-05,2.30295e-06,1.49887e-05,1.40297e-07,0.0010939,0.00010939
1503,3.15573e-05,0.00533291,0.00227803,0.00224648,3.57603e-05,0,1.35548e-05,2.01839e+09,0.000374276,5.3442e-06,-0.000325858,3.88099e-05,0.00156491,0.000570364,0.000288107,0,0.00168026,4.62339e-09,2.96633e-07,-2.33837e-07,5.34822e-10,0,1.40525e-09,2.80513e-09,0.00412989,0.0680086,0.0321269,0.00933963,0.0228776,9.63086e-10,0.000132435,2.95773e-05,5.27693e-06,8.72136e-06,3.04798e-06,1.25143e-06,0,1.18886e-08,8.05642e-06,8.35855e-09,0.00342928,0.00163895,3.19912e-05,8.10543e-05,2.28138e-06,1.58314e-05,2.07142e-07,0.0010939,0.00010939
1504,8.36721e-05,0.00542748,0.0023803,0.00229663,3.59175e-05,0,1.72683e-05,2.0267e+09,0.000414731,6.85954e-06,-0.000319269,6.9347e-05,0.00171569,0.00056386,0.00029322,0,0.000874292,4.07023e-09,3.17359e-07,-2.3769e-07,3.9475e-08,0,1.37632e-09,2.40143e-09,0.00375441,0.0677329,0.0321169,0.00912714,0.0230105,8.8748e-10,0.000173985,3.14796e-05,5.70053e-06,5.56606e-06,3.22537e-06,1.25687e-06,0,1.73547e-08,8.82767e-06,1.07136e-08,0.00341575,0.00163846,3.14911e-05,8.13608e-05,2.33254e-06,1.89911e-05,2.71773e-07,0.0010939,0.00010939
1505,-1.54956e-05,0.00533873,0.0022485,0.002264,3.60682e-05,0,4.19371e-05,2.03503e+09,0.000346719,8.27439e-06,-0.000376358,-1.40893e-05,0.00165063,0.000607777,0.0003588,0,0.00179701,2.68025e-09,2.60857e-07,-1.98712e-07,3.00764e-07,0,1.12542e-09,1.03497e-09,0.00451079,0.0674579,0.0321065,0.0090089,0.0229922,8.91035e-10,0.00021469,2.96609e-05,5.3221e-06,1.20062e-05,2.17368e-06,1.26222e-06,0,5.36422e-08,6.89274e-06,1.29233e-08,0.00340263,0.00163798,3.13239e-05,8.17232e-05,2.38142e-06,1.67215e-05,3.35345e-07,0.0010939,0.00010939
1506,-0.000160916,0.00503578,0.00199627,0.00215718,3.62247e-05,0,1.378e-05,2.04333e+09,0.000311417,9.57266e-06,-0.00045946,-9.06262e-05,0.00144383,0.000471127,0.000230834,0,0.00176125,5.95892e-09,3.78668e-07,-3.09911e-07,6.6107e-10,0,2.23465e-09,3.41559e-09,0.00380993,0.0673019,0.0320973,0.00915425,0.0225097,8.86245e-10,0.000254021,2.70662e-05,4.86349e-06,1.33258e-05,2.12937e-06,1.26766e-06,0,1.2091e-08,6.43593e-06,1.49449e-08,0.00339198,0.00163755,3.15921e-05,7.92995e-05,2.40564e-06,1.30165e-05,3.96629e-07,0.0010939,0.00010939
1507,-1.01217e-05,0.00516172,0.00225118,0.0022613,3.6376e-05,0,1.70763e-05,2.05164e+09,0.000393091,1.07366e-05,-0.00039465,-2.16585e-05,0.00167327,0.000577936,0.000285915,0,0.00111243,3.73272e-09,3.0716e-07,-2.33087e-07,3.8407e-08,0,1.25632e-09,2.19279e-09,0.00375441,0.0670329,0.0320871,0.00901001,0.0224965,8.84219e-10,0.000291395,3.13358e-05,6.03511e-06,6.50565e-06,3.31931e-06,1.27292e-06,0,1.70679e-08,8.39349e-06,1.67483e-08,0.00337865,0.00163704,3.12972e-05,8.02945e-05,2.05611e-06,1.5211e-05,4.54653e-07,0.0010939,0.00010939
1508,-4.85992e-05,0.00518172,0.00218208,0.00223068,3.65335e-05,0,4.13846e-05,2.05995e+09,0.000340069,1.18182e-05,-0.000405338,-5.45086e-05,0.00161928,0.00060492,0.000349292,0,0.00185236,2.60363e-09,2.53077e-07,-1.94881e-07,2.97104e-07,0,1.07001e-09,9.77919e-10,0.00451079,0.0667463,0.0320766,0.00887967,0.0224773,8.94843e-10,0.000327867,2.91562e-05,5.48161e-06,9.80952e-06,2.24535e-06,1.27841e-06,0,5.2765e-08,6.74357e-06,1.84553e-08,0.00336617,0.00163655,3.10951e-05,8.06038e-05,2.25743e-06,1.46734e-05,5.12009e-07,0.0010939,0.00010939
1509,0.000126233,0.00517715,0.00229406,0.00216783,3.66776e-05,0,1.38918e-05,2.06828e+09,0.000362934,1.28264e-05,-0.000226741,8.03563e-05,0.00155471,0.000660707,0.000444862,0,0.00377661,3.5185e-09,2.33072e-07,-1.94752e-07,3.26888e-09,0,1.27616e-09,1.26406e-09,0.00658806,0.0664973,0.0320662,0.0087498,0.0225994,8.33558e-10,0.000363526,3.01811e-05,5.38579e-06,1.70521e-05,3.19664e-06,1.2835e-06,0,1.24189e-08,7.71009e-06,2.00407e-08,0.00335408,0.00163606,3.09387e-05,8.26383e-05,1.72766e-06,5.87336e-06,5.67953e-07,0.0010939,0.00010939
